Dangerous,TRUE
,
Row Labels,Count of Dangerous
Development,4
"android.permission.ACCESS_SUPERUSER
",1
"android.permission.GET_ACCOUNTS
",1
"android.permission.MANAGE_ACCOUNTS
",2
Internet,6
"android.permission.ACCESS_SUPERUSER
",1
"android.permission.GET_ACCOUNTS
",1
"android.permission.READ_CALENDAR
",1
"android.permission.READ_PHONE_STATE
",2
"android.permission.READ_PROFILE
",1
Multimedia,6
"android.permission.GET_ACCOUNTS
",1
"android.permission.MANAGE_ACCOUNTS
",1
"android.permission.READ_PHONE_STATE
",3
"android.permission.RECORD_AUDIO
",1
Navigation,2
"android.permission.ACCESS_COARSE_LOCATION
",1
"android.permission.ACCESS_FINE_LOCATION
",1
Office,10
"android.permission.ACCESS_GPS
",1
"android.permission.ACCESS_SUPERUSER
",2
"android.permission.GET_ACCOUNTS
",1
"android.permission.MANAGE_ACCOUNTS
",2
"android.permission.READ_CALENDAR
",3
"android.permission.READ_PHONE_STATE
",1
Phone & SMS,5
"android.permission.MANAGE_ACCOUNTS
",1
"android.permission.READ_PHONE_STATE
",2
"android.permission.RECORD_AUDIO
",1
"android.permission.WRITE_CALL_LOG
",1
Science & Education,3
"android.permission.ACCESS_COARSE_LOCATION
",1
"android.permission.ACCESS_SUPERUSER
",1
"android.permission.READ_PHONE_STATE
",1
Security,2
"android.permission.ACCESS_SUPERUSER
",2
"Security,Internet",1
"android.permission.ACCESS_SUPERUSER
",1
System,24
"android.permission.ACCESS_SUPERUSER
",15
"android.permission.GET_ACCOUNTS
",1
"android.permission.READ_PHONE
",1
"android.permission.READ_PHONE_STATE
",5
"android.permission.READ_PROFILE
",1
"android.permission.WRITE_CALL_LOG
",1
Grand Total,63
